### Module positions - created on 2025-07-28 10:51
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 100.050mm, Pcb Width 160.053mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
R34           10k                 R_0805_2012Metric_Pad1.20x1.. 130.5673   -48.4205   130.5673   -47.4205     -9.0    top       SMD
R35           22k                 R_0805_2012Metric_Pad1.20x1.. 133.0673   -48.4205   133.0673   -47.4205     -9.0    top       SMD
R36           10k                 R_0805_2012Metric_Pad1.20x1.. 129.1548   -54.7010   128.1548   -54.7010      0.0    top       SMD
R37           10k                 R_0805_2012Metric_Pad1.20x1.. 122.5673   -48.4205   122.5673   -47.4205     -9.0    top       SMD
R38           22k                 R_0805_2012Metric_Pad1.20x1.. 125.0673   -48.4205   125.0673   -47.4205     -9.0    top       SMD
R39           10k                 R_0805_2012Metric_Pad1.20x1.. 121.1548   -54.7010   120.1548   -54.7010      0.0    top       SMD
R40           10k                 R_0805_2012Metric_Pad1.20x1.. 114.5673   -48.4205   114.5673   -47.4205     -9.0    top       SMD
R41           22k                 R_0805_2012Metric_Pad1.20x1.. 117.0673   -48.4205   117.0673   -47.4205     -9.0    top       SMD
R42           10k                 R_0805_2012Metric_Pad1.20x1.. 113.1548   -54.7010   112.1548   -54.7010      0.0    top       SMD
R43           10k                 R_0805_2012Metric_Pad1.20x1.. 117.0673   -65.0385   117.0673   -66.0385      9.0    top       SMD
R44           22k                 R_0805_2012Metric_Pad1.20x1.. 114.5673   -65.0385   114.5673   -66.0385      9.0    top       SMD
R45           10k                 R_0805_2012Metric_Pad1.20x1.. 113.3298   -58.9510   112.3298   -58.9510      0.0    top       SMD
R46           10k                 R_0805_2012Metric_Pad1.20x1.. 125.0673   -64.9760   125.0673   -65.9760      9.0    top       SMD
R47           22k                 R_0805_2012Metric_Pad1.20x1.. 122.5673   -64.9760   122.5673   -65.9760      9.0    top       SMD
R48           10k                 R_0805_2012Metric_Pad1.20x1.. 138.5673   -48.4205   138.5673   -47.4205     -9.0    top       SMD
R49           10k                 R_0805_2012Metric_Pad1.20x1.. 121.3298   -58.8885   120.3298   -58.8885      0.0    top       SMD
R50           22k                 R_0805_2012Metric_Pad1.20x1.. 141.0673   -48.4205   141.0673   -47.4205     -9.0    top       SMD
R51           10k                 R_0805_2012Metric_Pad1.20x1.. 137.1500   -54.6000   136.1500   -54.6000      0.0    top       SMD
R52           10k                 R_0805_2012Metric_Pad1.20x1.. 133.0673   -65.0385   133.0673   -66.0385      9.0    top       SMD
R53           22k                 R_0805_2012Metric_Pad1.20x1.. 130.5673   -65.0385   130.5673   -66.0385      9.0    top       SMD
R54           10k                 R_0805_2012Metric_Pad1.20x1.. 129.3298   -58.9510   128.3298   -58.9510      0.0    top       SMD
R55           10k                 R_0805_2012Metric_Pad1.20x1.. 141.0673   -65.0385   141.0673   -66.0385      9.0    top       SMD
R56           22k                 R_0805_2012Metric_Pad1.20x1.. 138.5673   -65.0385   138.5673   -66.0385      9.0    top       SMD
